"","species","decimalLatitude","decimalLongitude"
"246","Eurycea wilderae",35.759632,-83.105339
"247",NA,37.73848,-83.960005
"248","Eurycea cirrigera",33.807225,-84.281478
"249","Eurycea paludicola",31.901932,-92.775632
"250","Eurycea bislineata",41.1921,-74.848337
"251",NA,34.764789,-86.536724
"252",NA,34.764789,-86.536724
"253",NA,34.764789,-86.536724
"254","Eurycea cirrigera",36.193647,-86.679604
"255","Eurycea cirrigera",36.193647,-86.679604
"256","Eurycea wilderae",34.161281,-84.734213
"257","Eurycea cirrigera",31.802047,-85.959808
"258","Eurycea wilderae",34.709647,-83.789289
"259","Eurycea bislineata",41.195925,-74.630229
"260",NA,34.352717,-84.141084
"261","Eurycea wilderae",34.352759,-84.141082
"262","Eurycea cirrigera",33.88346,-83.36002
"263","Eurycea cirrigera",35.816336,-85.643887
"264","Eurycea wilderae",34.730214,-82.762522
"265","Eurycea wilderae",34.729036,-82.763787
"266","Eurycea wilderae",34.726597,-82.762543
"267","Eurycea wilderae",34.445272,-84.202613
"268",NA,35.032425,-82.697783
"269","Eurycea lucifuga",36.313545,-87.146148
"270","Eurycea lucifuga",36.312952,-87.144117
"271","Eurycea wilderae",36.143964,-82.529092
"272","Eurycea wilderae",34.671713,-82.823853
"273","Eurycea cirrigera",38.169801,-84.919161
"274","Eurycea cirrigera",35.718108,-78.761803
"275","Eurycea cirrigera",36.498777,-87.269208
"276","Eurycea cirrigera",37.54053,-78.004517
"277","Eurycea cirrigera",35.781055,-78.831588
"278","Eurycea cirrigera",36.896888,-84.440583
"279","Eurycea bislineata",42.408381,-76.512731
"280","Eurycea bislineata",42.408381,-76.512731
"281","Eurycea bislineata",42.406086,-76.513971
"282","Eurycea guttolineata",30.477787,-84.622513
"283","Eurycea guttolineata",30.361692,-84.674422
"284","Eurycea wilderae",36.272883,-81.808227
"285","Eurycea wilderae",35.595628,-82.845842
"286","Eurycea wilderae",35.59562,-82.845803
"287","Eurycea cirrigera",34.071945,-81.073417
"288","Eurycea cirrigera",35.988688,-79.0504
"289","Eurycea cirrigera",35.990005,-79.047997
"290","Eurycea wilderae",36.274188,-81.809175
"291","Eurycea cirrigera",30.45668,-84.97248
"292","Eurycea bislineata",42.449432,-76.473623
"293","Eurycea wilderae",36.118028,-81.795228
"294","Eurycea bislineata",42.318511,-76.334331
"295","Eurycea bislineata",42.315456,-76.334656
"296","Eurycea bislineata",42.315456,-76.334656
"297","Eurycea guttolineata",30.479113,-90.981278
"298","Eurycea guttolineata",30.47772,-90.988538
"299","Eurycea guttolineata",30.477728,-90.988617
"300","Eurycea cirrigera",33.529828,-86.701601
"301","Eurycea cirrigera",33.529596,-86.701945
"302","Eurycea cirrigera",38.181255,-84.837953
"303","Eurycea multiplicata",34.529587,-96.012658
"304","Eurycea wilderae",34.684531,-83.749004
"305","Eurycea cirrigera",38.956472,-84.563135
"306","Eurycea cirrigera",38.956362,-84.562966
"307","Eurycea cirrigera",36.925433,-85.041161
"308","Eurycea wilderae",34.731139,-82.759462
"309","Eurycea cirrigera",38.966592,-84.566247
"310",NA,34.739162,-82.819472
"311",NA,34.739097,-82.819412
"312","Eurycea cirrigera",37.808228,-83.622017
"313","Eurycea bislineata",39.439973,-75.697778
"314","Eurycea bislineata",38.831045,-77.310653
"315","Eurycea wilderae",33.988289,-84.324543
"316","Eurycea cirrigera",33.88045,-84.439317
"317","Eurycea wilderae",34.643108,-82.824653
"318","Eurycea cirrigera",33.343455,-81.822401
"319","Eurycea cirrigera",35.913755,-79.044863
"320","Eurycea aquatica",34.791207,-87.63675
"321","Eurycea wilderae",34.756422,-82.85827
"322","Eurycea guttolineata",33.710188,-82.019883
"323",NA,34.741861,-86.541842
"324","Eurycea paludicola",31.996617,-94.044949
"325","Eurycea bislineata",40.176363,-80.540847
"326",NA,34.3125,-84.232479
"327","Eurycea cirrigera",35.028279,-80.684815
"328","Eurycea cirrigera",34.312595,-84.235083
"329","Eurycea cirrigera",34.313192,-84.231644
"330","Eurycea bislineata",38.030867,-78.85306
"331","Eurycea cirrigera",36.293258,-87.097522
"332","Eurycea cirrigera",31.907447,-87.433388
"333","Eurycea cirrigera",31.591628,-84.79238
"334",NA,35.30799,-83.201644
"335","Eurycea wilderae",35.078307,-83.613676
"336","Eurycea cirrigera",38.732272,-83.187828
"337","Eurycea cirrigera",38.731472,-83.185067
"338","Eurycea cirrigera",38.711608,-82.244812
"339","Eurycea cirrigera",33.34602,-86.718276
"340","Eurycea cirrigera",33.343025,-86.739708
"341","Eurycea tynerensis",35.695995,-94.844422
"342","Eurycea tynerensis",35.697453,-94.846275
"343","Eurycea tynerensis",35.694877,-94.847374
"344","Eurycea lucifuga",37.542142,-89.43833
"345","Eurycea bislineata",40.475501,-74.420831
"346","Eurycea bislineata",40.50183,-80.361664
"347","Eurycea quadridigitata",33.875805,-79.614584
"348","Eurycea cirrigera",33.875974,-79.614587
"349","Eurycea lucifuga",36.504073,-87.311628
"350","Eurycea paludicola",30.288792,-95.66243
"351","Eurycea paludicola",30.288237,-95.662138
"352","Eurycea cirrigera",37.483197,-83.149894
"353","Eurycea bislineata",42.455217,-71.246655
"354","Eurycea cirrigera",34.710103,-85.377892
"355","Eurycea cirrigera",35.764878,-78.773063
"356","Eurycea cirrigera",39.438943,-84.765159
"357","Eurycea bislineata",41.771491,-74.019143
"358","Eurycea lucifuga",35.868822,-84.908491
"359","Eurycea paludicola",30.288428,-95.663161
"360","Eurycea tynerensis",35.398583,-93.318017
"361","Eurycea wilderae",35.008629,-83.166498
"362","Eurycea cirrigera",36.52401,-86.237791
"363","Eurycea cirrigera",37.905978,-84.369483
"364","Eurycea bislineata",40.17828,-82.848092
"365","Eurycea paludicola",30.280828,-89.921142
"366","Eurycea cirrigera",39.142922,-84.773217
"367","Eurycea wilderae",35.431458,-83.075333
"368","Eurycea cirrigera",33.966784,-84.265286
"369","Eurycea paludicola",30.283948,-95.662595
"370","Eurycea bislineata",39.036245,-77.30883
"371","Eurycea cirrigera",36.910092,-88.042586
"372","Eurycea cirrigera",35.637613,-78.604302
"373","Eurycea bislineata",41.27737,-81.547592
"374","Eurycea guttolineata",30.814884,-85.228232
"375","Eurycea paludicola",30.289233,-95.661683
"376","Eurycea tynerensis",35.763863,-92.926513
"377","Eurycea wilderae",35.125465,-82.574471
"378","Eurycea wilderae",35.125262,-82.574268
"379","Eurycea wilderae",35.613413,-83.653248
"380","Eurycea cirrigera",34.626341,-87.803888
"381",NA,35.453271,-83.104263
"382","Eurycea longicauda",34.014308,-87.366178
"383","Eurycea cirrigera",34.190644,-81.494257
"384","Eurycea cirrigera",35.577408,-78.621208
"385","Eurycea cirrigera",37.903062,-84.364377
"386","Eurycea bislineata",40.181812,-75.03163
"387","Eurycea cirrigera",38.84607,-83.104653
"388","Eurycea lucifuga",36.313407,-87.145466
"389","Eurycea lucifuga",36.313269,-87.145337
"390","Eurycea lucifuga",36.314223,-87.145503
"391","Eurycea lucifuga",36.31341,-87.145794
"392","Eurycea lucifuga",36.313402,-87.145721
"393","Eurycea lucifuga",36.313497,-87.145807
"394","Eurycea lucifuga",36.313445,-87.145775
